start	end	text
0	5000	Most people don't realize you can build a clock console that tells you the brutal truth about your idea of a 40-way six months on the wrong thing.
5000	6000	Here's how to set it up.
6000	9000	You drop your idea in one paragraph and it splits it into four people who fight it out.
9000	13000	The believer makes the strongest case for why this works and who desperately needs it.
13000	14000	The skeptic attacks every week point.
14000	18000	The reason people won't pay, the competitor you forgot, the part you're lying to yourself about.
18000	19000	The investor cares about one thing.
19000	21000	Whether real money would actually show up in how fast.
21000	24000	Then the judge reads the whole fight and hands you one verdict.
24000	25000	And this is a part that matters.
25000	28000	And it remembers your idea so tomorrow you can come back and ask what change.
28000	31000	People are running ideas through this before they toast single friend.
31000	33000	And catching the fatal flaw in ten minutes instead of six months.
33000	36000	I put together these exact four aging counsel in every problem.
36000	37000	So come and roast.
