start	end	text
0	3960	you are coming into my office with this resume without any projects on it.
3960	5640	Do you really think you're going to get the job?
6820	10400	I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I, because you're not getting this job.
10400	11400	Get out.
12340	14040	Run me, play the hell.
14580	16180	Ah, not this guy again.
16180	17700	Wait, check out my projects.
17700	18020	Whoa!
18080	19300	These are actually impressive.
19300	21960	You-you've literally built everything that we had in the job description.
21960	22800	How did he do this?
22800	25760	What he doesn't know is that I went to learn.nextweek.org
25760	27480	and then I just put in the job description
27480	28720	into this box right here
28720	30560	and I asked it to generate me projects
30560	31440	so I can get the job.
31440	32280	Hello.
32280	33800	After that, I answered a few questions,
33800	36080	generated the project and went through it step by step.
36080	37880	The projects are way better than something
37880	39320	clawed or tragedy would give you.
39320	40960	Oh, and then I filled in these questions here
40960	42000	and added in screenshots.
42000	44920	And I could post my documentation to LinkedIn or GitHub.
44920	46440	We even share it to losers like him.
46440	47200	I don't know what's happening here,
47200	48600	but you've got the job, man.
48600	49440	I know I did.
49440	51200	Go open the door so I can go choose my desk.
