start	end	text
0	2000	Our clouds are not the same, bro.
2000	4000	Let me just tell you, my cloud will mogue yours.
4000	6320	Not only can I text this bad boy 247,
6320	9840	but he has the ability to spawn up any other project
9840	11600	and start it as a remote control session.
11600	14080	I can access from the cloud app on my phone.
14080	16240	I text cloud and I message I say when I work in the website,
16240	17600	start it up, boom!
17600	19920	I can add page to my website from my phone.
19920	22320	Plus, I can send cloud selfies when I'm bored.
22320	24800	If this gets like a thousand likes, I will leak the method.
