start	end	text
0	5440	Don't be fooled by your BMW coolant gauge. It's lying to you. Let me tell you a story about how I know
5440	12200	They told me you couldn't pull INPA or ISTA level data from a golden air of BMW's using just an ice on it
12200	19240	They said you needed an ancient Windows laptop and outdated dealer software or spent $200 or more at a specialty shop
19240	23840	Just for a diagnosis. That wasn't good enough for me for patents later
23840	28640	I built my own hardware to prove them wrong and thankfully phase two doesn't require soldering
29200	31760	Here's what that looks like in actual practice
32560	39560	The first 20 minutes of driving my coolant tense with spite to 101 before cooling down and then dropped to 84 on the freeway
39560	45360	The app noticed by E39 there's running 60 degrees hotter than normal while the dash gauge was out to lunch
46080	48240	Hans the built in AI engineer
48240	51520	Instantly flag the sticky thermostat before it could be stranded
52320	55520	So I grabbed the parts and I completed the job myself
56320	59320	Then I ran a sonic pulse acoustic analysis task
59320	65020	The app listened to the engine clear the rod bearings and Tissa one-loading spite fanos rattle and a lifter
65520	70800	Confirming the block it's helped to maintain performance these machines the man preservation
71360	75960	The analog built by and for enthusiasts built for the analog era
